id;job_title;min_salary;max_salary
1;Directeur des interactions client;11434;5874
2;Analyste des infrastructures international;6633;25912
3;Stagiaire de marque futur;20650;32171
4;Developpeur de la mise en œuvre central;6689;28544
5;Assistant des applications futur;763;9480
6;Superviseur des comptes principal;4850;28483
7;Architecte de la communication central;32212;20411
8;Consultant de la qualité interne;16865;6060
9;Executif de l'assurance humain;26452;11274
10;Analyste des données international;8844;31493
