id;street_address;postal_code;city;state_province
1;en outre de;immense;Nanterre;afin de
2;infime au prix de;ah à condition que pas mal;Bordeaux;conseil d’administration
3;à l'instar de engendrer;afin que;Cannes;après-demain
4;après que ensemble;de sorte que adversaire;Limoges;saluer
5;trop persuader;toutefois;Levallois-Perret;franchir
6;ah;après adepte euh;Ajaccio;membre du personnel
7;même si en dépit de ici;fréquenter;Cholet;fouiller deçà pschitt
8;mince là-haut;à condition que rétablir à l'encontre de;Strasbourg;d'avec pauvre
9;même quand;en oups areu areu;Le Havre;chef de cuisine
10;après énergique boum;toc-toc sur par rapport à;Drancy;garantir par probablement
